Width = 320, height = 240
x y w h
0 0 16 8
16 0 16 8
32 0 16 8
48 0 16 8
64 0 16 8
80 0 16 8
96 0 16 8
112 0 16 8
128 0 16 8
144 0 16 8
160 0 16 8
176 0 16 8
192 0 16 8
208 0 16 8
224 0 16 8
240 0 16 8
256 0 16 8
272 0 16 8
288 0 16 8
304 0 16 8
0 8 16 8
16 8 16 8
32 8 16 8
48 8 16 8
64 8 16 8
80 8 16 8
96 8 16 8
112 8 16 8
128 8 16 8
144 8 16 8
160 8 16 8
176 8 16 8
192 8 16 8
208 8 16 8
224 8 16 8
240 8 16 8
256 8 16 8
272 8 16 8
288 8 16 8
304 8 16 8
0 16 16 8
16 16 16 8
32 16 16 8
48 16 16 8
64 16 16 8
80 16 16 8
96 16 16 8
112 16 16 8
128 16 16 8
144 16 16 8
160 16 16 8
176 16 16 8
192 16 16 8
208 16 16 8
224 16 16 8
240 16 16 8
256 16 16 8
272 16 16 8
288 16 16 8
304 16 16 8
0 24 16 8
16 24 16 8
32 24 16 8
48 24 16 8
64 24 16 8
80 24 16 8
96 24 16 8
112 24 16 8
128 24 16 8
144 24 16 8
160 24 16 8
176 24 16 8
192 24 16 8
208 24 16 8
224 24 16 8
240 24 16 8
256 24 16 8
272 24 16 8
288 24 16 8
304 24 16 8
0 32 16 8
16 32 16 8
32 32 16 8
48 32 16 8
64 32 16 8
80 32 16 8
96 32 16 8
112 32 16 8
128 32 16 8
144 32 16 8
160 32 16 8
176 32 16 8
192 32 16 8
208 32 16 8
224 32 16 8
240 32 16 8
256 32 16 8
272 32 16 8
288 32 16 8
304 32 16 8
0 40 16 8
16 40 16 8
32 40 16 8
48 40 16 8
64 40 16 8
80 40 16 8
96 40 16 8
112 40 16 8
128 40 16 8
144 40 16 8
160 40 16 8
176 40 16 8
192 40 16 8
208 40 16 8
224 40 16 8
240 40 16 8
256 40 16 8
272 40 16 8
288 40 16 8
304 40 16 8
0 48 16 8
16 48 16 8
32 48 16 8
48 48 16 8
64 48 16 8
80 48 16 8
96 48 16 8
112 48 16 8
128 48 16 8
144 48 16 8
160 48 16 8
176 48 16 8
192 48 16 8
208 48 16 8
224 48 16 8
240 48 16 8
256 48 16 8
272 48 16 8
288 48 16 8
304 48 16 8
0 56 16 8
16 56 16 8
32 56 16 8
48 56 16 8
64 56 16 8
80 56 16 8
96 56 16 8
112 56 16 8
128 56 16 8
144 56 16 8
160 56 16 8
176 56 16 8
192 56 16 8
208 56 16 8
224 56 16 8
240 56 16 8
256 56 16 8
272 56 16 8
288 56 16 8
304 56 16 8
0 64 16 8
16 64 16 8
32 64 16 8
48 64 16 8
64 64 16 8
80 64 16 8
96 64 16 8
112 64 16 8
128 64 16 8
144 64 16 8
160 64 16 8
176 64 16 8
192 64 16 8
208 64 16 8
224 64 16 8
240 64 16 8
256 64 16 8
272 64 16 8
288 64 16 8
304 64 16 8
0 72 16 8
16 72 16 8
32 72 16 8
48 72 16 8
64 72 16 8
80 72 16 8
96 72 16 8
112 72 16 8
128 72 16 8
144 72 16 8
160 72 16 8
176 72 16 8
192 72 16 8
208 72 16 8
224 72 16 8
240 72 16 8
256 72 16 8
272 72 16 8
288 72 16 8
304 72 16 8
0 80 16 8
16 80 16 8
32 80 16 8
48 80 16 8
64 80 16 8
80 80 16 8
96 80 16 8
112 80 16 8
128 80 16 8
144 80 16 8
160 80 16 8
176 80 16 8
192 80 16 8
208 80 16 8
224 80 16 8
240 80 16 8
256 80 16 8
272 80 16 8
288 80 16 8
304 80 16 8
0 88 16 8
16 88 16 8
32 88 16 8
48 88 16 8
64 88 16 8
80 88 16 8
96 88 16 8
112 88 16 8
128 88 16 8
144 88 16 8
160 88 16 8
176 88 16 8
192 88 16 8
208 88 16 8
224 88 16 8
240 88 16 8
256 88 16 8
272 88 16 8
288 88 16 8
304 88 16 8
0 96 16 8
16 96 16 8
32 96 16 8
48 96 16 8
64 96 16 8
80 96 16 8
96 96 16 8
112 96 16 8
128 96 16 8
144 96 16 8
160 96 16 8
176 96 16 8
192 96 16 8
208 96 16 8
224 96 16 8
240 96 16 8
256 96 16 8
272 96 16 8
288 96 16 8
304 96 16 8
0 104 16 8
16 104 16 8
32 104 16 8
48 104 16 8
64 104 16 8
80 104 16 8
96 104 16 8
112 104 16 8
128 104 16 8
144 104 16 8
160 104 16 8
176 104 16 8
192 104 16 8
208 104 16 8
224 104 16 8
240 104 16 8
256 104 16 8
272 104 16 8
288 104 16 8
304 104 16 8
0 112 16 8
16 112 16 8
32 112 16 8
48 112 16 8
64 112 16 8
80 112 16 8
96 112 16 8
112 112 16 8
128 112 16 8
144 112 16 8
160 112 16 8
176 112 16 8
192 112 16 8
208 112 16 8
224 112 16 8
240 112 16 8
256 112 16 8
272 112 16 8
288 112 16 8
304 112 16 8
0 120 16 8
16 120 16 8
32 120 16 8
48 120 16 8
64 120 16 8
80 120 16 8
96 120 16 8
112 120 16 8
128 120 16 8
144 120 16 8
160 120 16 8
176 120 16 8
192 120 16 8
208 120 16 8
224 120 16 8
240 120 16 8
256 120 16 8
272 120 16 8
288 120 16 8
304 120 16 8
0 128 16 8
16 128 16 8
32 128 16 8
48 128 16 8
64 128 16 8
80 128 16 8
96 128 16 8
112 128 16 8
128 128 16 8
144 128 16 8
160 128 16 8
176 128 16 8
192 128 16 8
208 128 16 8
224 128 16 8
240 128 16 8
256 128 16 8
272 128 16 8
288 128 16 8
304 128 16 8
0 136 16 8
16 136 16 8
32 136 16 8
48 136 16 8
64 136 16 8
80 136 16 8
96 136 16 8
112 136 16 8
128 136 16 8
144 136 16 8
160 136 16 8
176 136 16 8
192 136 16 8
208 136 16 8
224 136 16 8
240 136 16 8
256 136 16 8
272 136 16 8
288 136 16 8
304 136 16 8
0 144 16 8
16 144 16 8
32 144 16 8
48 144 16 8
64 144 16 8
80 144 16 8
96 144 16 8
112 144 16 8
128 144 16 8
144 144 16 8
160 144 16 8
176 144 16 8
192 144 16 8
208 144 16 8
224 144 16 8
240 144 16 8
256 144 16 8
272 144 16 8
288 144 16 8
304 144 16 8
0 152 16 8
16 152 16 8
32 152 16 8
48 152 16 8
64 152 16 8
80 152 16 8
96 152 16 8
112 152 16 8
128 152 16 8
144 152 16 8
160 152 16 8
176 152 16 8
192 152 16 8
208 152 16 8
224 152 16 8
240 152 16 8
256 152 16 8
272 152 16 8
288 152 16 8
304 152 16 8
0 160 16 8
16 160 16 8
32 160 16 8
48 160 16 8
64 160 16 8
80 160 16 8
96 160 16 8
112 160 16 8
128 160 16 8
144 160 16 8
160 160 16 8
176 160 16 8
192 160 16 8
208 160 16 8
224 160 16 8
240 160 16 8
256 160 16 8
272 160 16 8
288 160 16 8
304 160 16 8
0 168 16 8
16 168 16 8
32 168 16 8
48 168 16 8
64 168 16 8
80 168 16 8
96 168 16 8
112 168 16 8
128 168 16 8
144 168 16 8
160 168 16 8
176 168 16 8
192 168 16 8
208 168 16 8
224 168 16 8
240 168 16 8
256 168 16 8
272 168 16 8
288 168 16 8
304 168 16 8
0 176 16 8
16 176 16 8
32 176 16 8
48 176 16 8
64 176 16 8
80 176 16 8
96 176 16 8
112 176 16 8
128 176 16 8
144 176 16 8
160 176 16 8
176 176 16 8
192 176 16 8
208 176 16 8
224 176 16 8
240 176 16 8
256 176 16 8
272 176 16 8
288 176 16 8
304 176 16 8
0 184 16 8
16 184 16 8
32 184 16 8
48 184 16 8
64 184 16 8
80 184 16 8
96 184 16 8
112 184 16 8
128 184 16 8
144 184 16 8
160 184 16 8
176 184 16 8
192 184 16 8
208 184 16 8
224 184 16 8
240 184 16 8
256 184 16 8
272 184 16 8
288 184 16 8
304 184 16 8
0 192 16 8
16 192 16 8
32 192 16 8
48 192 16 8
64 192 16 8
80 192 16 8
96 192 16 8
112 192 16 8
128 192 16 8
144 192 16 8
160 192 16 8
176 192 16 8
192 192 16 8
208 192 16 8
224 192 16 8
240 192 16 8
256 192 16 8
272 192 16 8
288 192 16 8
304 192 16 8
0 200 16 8
16 200 16 8
32 200 16 8
48 200 16 8
64 200 16 8
80 200 16 8
96 200 16 8
112 200 16 8
128 200 16 8
144 200 16 8
160 200 16 8
176 200 16 8
192 200 16 8
208 200 16 8
224 200 16 8
240 200 16 8
256 200 16 8
272 200 16 8
288 200 16 8
304 200 16 8
0 208 16 8
